Process ANC data (ON):
ADC,DAC
63911,2011
63948,2021
63999,2021
64063,2034
64134,2036
64205,2044
64275,2051
64342,2061
64411,2075
64476,2078
64535,2088
64585,2091
64624,2096
64646,2095
64650,2096
64639,2096
64615,2094
64582,2092
64542,2088
64500,2084
64451,2073
64394,2065
64328,2053
64250,2042
64165,2033
64074,2019
63985,2014
63902,2002
63829,1997
63777,1996
63748,1992
63738,1988
63745,1988
63759,1982
63782,1990
63807,1984
63838,1997
63872,1996
63909,2005
63952,2013
64005,2024
64071,2035
64150,2047
64236,2053
64322,2063
64398,2066
64453,2066
64485,2071
64498,2076
64499,2081
64501,2092
64504,2089
64505,2090
64498,2082
64474,2074
64432,2067
64373,2059
64303,2053
64229,2048
64155,2040
64082,2030
64010,2020
63940,2011
63872,2000
63806,1992
63747,1987
63698,1981
63664,1982
63646,1977
63645,1981
63659,1979
63687,1984
63727,1988
63776,1993
63829,1999
63889,2010
63955,2018
64029,2032
64103,2035
64176,2048
64239,2048
64292,2059
64335,2064
64372,2073
64412,2086
64457,2092
64502,2096
64539,2094
64558,2091
64552,2085
64520,2080
64464,2074
64394,2072
64319,2066
64244,2058
64173,2053
64107,2042
64046,2035
63984,2020
63923,2014
63863,2004
63807,1999
63760,1995
63723,1991
63694,1985
63677,1987
63672,1984
63686,1994
63721,1998
63776,2007
63845,2011
63924,2022
64005,2026
64081,2034
64149,2042
64207,2048
64259,2060
64306,2067
64350,2075
64391,2082
64434,2091
64478,2096
64522,2102
64557,2100
64580,2103
64586,2098
64574,2097
64545,2092
64496,2083
64436,2083
64363,2067
64283,2064
64200,2051
64113,2041
64029,2033
63954,2026
63892,2019
63848,2016
63822,2011
63810,2008
63806,2001
63805,1999
63808,2000
63813,1998
63824,2005
63846,2011
63879,2016
63926,2025
63988,2035
64063,2044
64144,2049
64226,2059
64305,2067
64374,2072
64432,2081
64475,2084
64506,2091
64525,2093
64539,2102
64547,2100
64550,2103
64548,2101
64540,2099
64522,2093
64494,2090
64456,2082
64404,2073
64330,2055
64240,2050
64136,2035
64031,2031
63934,2020
63854,2017
63795,2009
63757,2004
63739,2000
63733,1994
63732,1988
63731,1984
63732,1987
63739,1991
63760,2001
63795,2004
63845,2014
63906,2019
63978,2032
64055,2036
64134,2047
64212,2055
64285,2064
64349,2070
64402,2078
64442,2080
64471,2089
64498,2097
64523,2101
64548,2107
64566,2102
64572,2102
64559,2092
64528,2091
64484,2087
64428,2078
64363,2073
64293,2064
64216,2051
64134,2044
64051,2032
63972,2026
63904,2019
63852,2016
63816,2008
63794,2006
63780,1997
63774,1999
63780,2001
63802,2008
63842,2013
63895,2019
63957,2024
64021,2029
64083,2036
64147,2048
64212,2055
64279,2067
64345,2073
64411,2086
64472,2088
64529,2100
64579,2103
64621,2109
64654,2113
