Sunday,17,March,2019,17:09:13:05031-VCID:316E8DEBFB3AFDB6E2-4A3A,VCDS Version: Release 15.7.1,Data version: 20150904
06A 906 018 R,,1.8L R4/5VT MOTR HS D03,

,Group A:,'002,,,,Group B:,'025,,,,Group C:, Not Running
,,Idle speed,Engine load,Inj. period,Air mass in,,Spec. load,Load correc.,Actual load,Valve cycle,,,,,
,TIME,800-920 rpm,0.5-1.5 m/s,1.00-3.00 m/s,1.8-4 g/s,TIME,3-8 m/s,0-8 m/s,0.5-8 m/s,0-99%,TIME,,,,
Marker,STAMP, /min, ms, ms, g/s,STAMP, ms, ms, ms, %,STAMP,,,,
,0.25,1960,4.90,10.82,30.83,0.01,7.50,6.75,4.50,99.6,,,,,
,0.75,2040,5.55,11.65,36.39,0.50,7.40,7.35,5.25,99.6,,,,,
,1.25,2160,6.25,13.76,43.47,1.00,7.35,7.30,5.90,92.2,,,,,
,1.75,2280,6.85,15.17,50.14,1.50,7.30,7.25,6.60,78.1,,,,,
,2.25,2400,6.90,14.98,53.33,2.00,7.25,7.20,6.90,71.9,,,,,
,2.75,2560,6.85,14.66,55.90,2.50,7.20,7.15,6.95,70.7,,,,,
,3.25,2640,6.85,14.78,58.26,3.00,7.15,7.15,6.90,70.3,,,,,
,3.76,2760,6.90,15.04,61.25,3.51,7.05,7.05,6.80,70.3,,,,,
,4.26,2880,6.85,14.91,63.47,4.01,7.00,7.00,6.90,69.5,,,,,
,4.76,3040,6.90,14.98,67.08,4.51,6.95,6.95,6.85,69.5,,,,,
,5.26,3160,6.95,15.30,70.34,5.01,6.95,6.90,6.85,69.5,,,,,
,5.76,3280,6.90,15.87,72.29,5.51,6.95,6.90,6.95,67.2,,,,,
,6.26,3400,7.00,16.19,76.32,6.01,6.95,6.90,6.90,67.6,,,,,
,6.77,3520,6.90,15.68,77.43,6.51,6.95,6.90,6.90,66.0,,,,,
,7.27,3680,6.95,15.87,81.46,7.02,6.95,6.90,7.00,65.6,,,,,
,7.77,3760,7.00,16.32,84.72,7.52,6.95,6.90,6.80,67.2,,,,,
,8.27,3880,6.95,15.94,86.46,8.02,6.95,6.90,7.05,66.8,,,,,
,8.77,4000,6.95,16.06,88.96,8.52,6.95,6.90,6.90,67.6,,,,,
,9.27,4120,6.90,16.13,90.76,9.02,6.95,6.90,6.95,67.6,,,,,
,9.77,4240,6.95,16.26,93.47,9.52,6.95,6.90,6.95,68.4,,,,,
,10.27,4320,6.95,16.32,95.90,10.02,6.95,6.90,6.95,68.8,,,,,
,10.77,4400,6.90,16.32,97.57,10.52,6.95,6.90,6.95,68.4,,,,,
,11.28,4560,7.05,16.32,101.94,11.03,6.95,6.90,6.90,69.5,,,,,
,11.78,4640,7.00,16.32,103.33,11.53,7.00,6.95,7.00,69.5,,,,,
,12.28,4720,6.95,16.32,104.72,12.03,7.00,6.95,6.95,69.5,,,,,
,12.78,4800,6.95,16.32,107.08,12.53,7.00,6.95,6.95,70.3,,,,,
,13.28,4920,7.00,16.32,110.07,13.03,7.00,6.95,7.05,71.1,,,,,
,13.78,5000,7.00,16.32,111.39,13.53,7.00,6.95,7.00,69.9,,,,,
,14.28,5080,6.95,16.32,112.92,14.03,7.00,6.95,7.00,69.9,,,,,
,14.79,5160,6.95,16.32,114.93,14.54,7.00,6.95,6.95,69.9,,,,,
,15.29,5240,6.90,16.32,115.97,15.04,6.95,6.90,6.95,69.9,,,,,
,15.79,5320,6.80,16.32,116.39,15.54,6.95,6.90,6.90,69.1,,,,,
,16.29,5400,6.95,16.32,120.48,16.04,6.90,6.85,6.95,69.9,,,,,
,16.79,5480,6.85,16.32,120.69,16.54,6.90,6.85,6.85,69.5,,,,,
,17.29,5600,6.80,16.32,121.73,17.04,6.85,6.85,6.85,68.4,,,,,
,17.80,5680,6.75,16.32,122.01,17.55,6.80,6.75,6.80,67.6,,,,,
,18.30,5720,6.70,16.32,122.84,18.05,6.75,6.70,6.75,67.2,,,,,
,18.80,5800,6.65,16.32,123.54,18.55,6.70,6.70,6.65,66.8,,,,,
,19.30,5880,6.65,16.32,124.93,19.05,6.65,6.60,6.70,66.0,,,,,
,19.80,5960,6.50,16.32,124.17,19.55,6.60,6.55,6.60,63.7,,,,,
,20.30,6040,6.55,16.32,126.18,20.05,6.55,6.50,6.50,64.1,,,,,
,20.80,6080,6.45,16.32,125.28,20.55,6.50,6.45,6.50,62.9,,,,,
,21.30,6160,6.40,16.32,126.18,21.05,6.45,6.40,6.40,62.1,,,,,
,21.81,6240,6.35,16.32,126.32,21.55,6.40,6.35,6.40,61.3,,,,,
,22.31,6280,6.30,16.32,126.04,22.06,6.35,6.35,6.35,60.5,,,,,
,22.81,6360,6.30,16.32,127.78,22.56,6.35,6.30,6.30,61.3,,,,,
,23.31,6400,6.25,16.32,127.36,23.06,6.30,6.25,6.30,59.8,,,,,
,23.81,6440,6.20,16.32,127.50,23.56,6.25,6.20,6.25,58.6,,,,,
,24.31,6480,6.20,16.32,127.98,24.06,6.20,6.20,6.20,58.2,,,,,
,24.81,6560,6.15,12.61,127.84,24.56,6.20,6.15,6.15,57.4,,,,,
,25.32,6600,5.80,11.65,122.43,25.06,6.20,6.05,6.05,46.9,,,,,
,25.82,6640,5.60,11.20,118.68,25.57,6.20,5.90,5.75,29.3,,,,,
