Sunday,25,August,2019,12:52:12:65217,VCDS Version: Release 12.12.0,Data version: 20130910
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D03,

,Group A:,'002,,,,Group B:,'025,,,,Group C:, Not Running
,,Idle speed,Engine load,Inj. period,Air mass in,,Spec. load,Load correc.,Actual load,Valve cycle,,,,,
,TIME,800-920 rpm,0.5-1.5 m/s,1.00-3.00 m/s,1.8-4 g/s,TIME,3-8 m/s,0-8 m/s,0.5-8 m/s,0-99%,TIME,,,,
Marker,STAMP, /min, ms, ms, g/s,STAMP, ms, ms, ms, %,STAMP,,,,
,0.02,1720,4.05,9.28,22.36,0.25,7.55,6.85,4.20,99.6,,,,,
,0.51,1760,4.30,9.34,24.31,0.76,7.55,7.45,4.35,99.6,,,,,
,1.01,1840,4.40,9.86,25.90,1.26,7.55,7.50,4.45,99.6,,,,,
,1.51,1920,4.50,10.50,27.57,1.76,7.45,7.45,4.55,99.6,,,,,
,2.01,2040,4.60,11.33,29.86,2.26,7.35,7.35,4.70,99.6,,,,,
,2.51,2080,4.80,11.90,32.08,2.76,7.35,7.30,4.90,99.6,,,,,
,3.01,2160,5.05,12.61,35.21,3.26,7.30,7.25,5.20,99.6,,,,,
,3.51,2240,5.35,13.31,39.03,3.78,7.25,7.20,5.55,93.0,,,,,
,4.04,2360,5.65,14.02,43.06,4.29,7.20,7.20,5.80,86.3,,,,,
,4.57,2440,5.95,12.10,46.81,4.82,7.20,7.15,6.05,87.1,,,,,
,5.07,2440,6.20,12.54,48.68,5.32,7.20,7.15,6.30,78.9,,,,,
,5.59,2520,6.35,12.99,50.90,5.85,7.20,7.15,6.30,76.6,,,,,
,6.10,2520,6.45,13.12,52.29,6.35,7.15,7.15,6.40,75.4,,,,,
,6.60,2560,6.45,12.99,53.06,6.86,7.15,7.10,6.55,75.4,,,,,
,7.11,2560,6.50,13.06,53.40,7.36,7.10,7.10,6.50,76.6,,,,,
