Tuesday,23,July,2019,17:37:14
8D0 907 558 E,,1.8L R4/5VT MOTR HS D03,

,Group A:,'003,,,,Group B:,'025,,,,Group C:, Not Running
,,RPM,Voltage,Temperature,Temperature,,Time,Time,Time,Duty Cycle,,,,,
,TIME,,,,,TIME,,,,,TIME,,,,
Marker,STAMP, /min, V,°C,°C,STAMP, ms, ms, ms, %,STAMP,,,,
,0.36,1760,13.440,94.5,48.0,0.74,7.35,6.55,5.65,5.1,,,,,
,1.11,1920,13.580,94.5,46.5,1.50,7.40,7.30,5.85,5.1,,,,,
,1.87,2040,13.440,94.5,45.0,2.25,7.40,7.35,5.95,5.1,,,,,
,2.62,2240,13.650,94.5,43.5,3.00,7.35,7.30,5.95,5.1,,,,,
,3.37,2400,13.300,94.5,43.5,3.75,7.35,7.30,6.00,5.1,,,,,
,4.14,2560,13.650,94.5,42.0,4.50,7.35,7.30,6.15,5.1,,,,,
,4.89,2720,13.720,94.5,42.0,5.26,7.35,7.30,6.35,5.1,,,,,
,5.64,2920,13.510,94.5,42.0,6.01,7.35,7.30,6.55,5.1,,,,,
,6.39,3080,13.510,94.5,42.0,6.77,7.25,7.25,6.60,5.1,,,,,
,7.14,3240,13.230,94.5,42.0,7.53,7.20,7.15,6.55,5.1,,,,,
,7.91,3400,13.510,94.5,42.0,8.30,7.10,7.05,6.55,5.1,,,,,
,8.69,3560,13.650,94.5,42.0,9.06,7.05,7.00,6.50,5.1,,,,,
,9.45,3720,13.090,94.5,42.0,9.81,7.05,7.00,6.45,5.1,,,,,
,10.20,3880,13.370,94.5,42.0,10.58,7.05,7.00,6.40,5.1,,,,,
,10.97,4040,13.510,94.5,42.0,11.33,7.05,7.00,6.40,5.1,,,,,
,11.73,4200,13.230,94.5,42.0,12.12,7.05,7.00,6.40,5.1,,,,,
,12.49,4360,13.020,94.5,43.5,12.87,7.05,7.00,6.45,5.1,,,,,
,13.25,4480,13.160,94.5,43.5,13.64,7.00,7.00,6.50,5.1,,,,,
,14.02,4640,13.440,94.5,43.5,14.39,7.00,6.95,6.50,5.1,,,,,
,14.77,4760,13.510,94.5,43.5,15.16,7.00,6.95,6.55,5.1,,,,,
,15.54,4880,13.440,94.5,43.5,15.91,7.00,6.95,6.55,5.1,,,,,
,16.29,5040,13.580,94.5,43.5,16.68,6.95,6.90,6.60,5.1,,,,,
,17.06,5160,13.510,94.5,43.5,17.44,6.90,6.90,6.60,5.1,,,,,
,17.81,5280,13.440,94.5,45.0,18.20,6.90,6.85,6.60,5.1,,,,,
,18.58,5400,13.510,94.5,45.0,18.97,6.85,6.80,6.60,5.1,,,,,
