Saturday,07,December,2019,11:05:21
06A 906 018 R  ,,1.8L R4/5VT MOTR HS D03,

,Group A:,'013,,,,Group B:,'025,,,,Group C:, Not Running
,,Knock Reg.,Knock Reg.,Knock Reg.,Knock Reg.,,Time,Time,Time,Duty Cycle,,,,,
,TIME,,,,,TIME,,,,,TIME,,,,
MARKER,STAMP,°,°,°,°,STAMP, ms, ms, ms, %,STAMP,,,,
,0.35,0.0,0.0,0.0,0.0,0.00,4.90,4.60,1.65,0.0,,,,,
,1.04,0.0,0.0,0.0,0.0,0.70,7.90,7.00,3.40,99.6,,,,,
,1.71,0.0,0.0,0.0,0.0,1.38,8.25,8.05,3.65,99.6,,,,,
,2.40,0.0,0.0,0.0,0.0,2.06,8.55,8.30,3.80,99.6,,,,,
,3.09,0.0,0.0,0.0,0.0,2.74,8.80,8.65,3.95,99.6,,,,,
,3.79,0.0,0.0,0.0,0.0,3.44,8.90,8.80,4.20,99.6,,,,,
,4.47,0.0,0.0,0.0,0.0,4.13,9.05,8.90,4.50,99.6,,,,,
,5.14,0.0,0.0,0.0,0.0,4.80,9.15,9.00,4.85,99.6,,,,,
,5.83,0.0,0.0,0.0,0.0,5.49,9.30,9.15,5.40,99.6,,,,,
,6.52,0.0,0.0,0.0,0.0,6.18,9.35,9.30,6.25,99.6,,,,,
,7.21,0.0,0.0,0.0,0.0,6.87,9.45,9.35,7.85,93.0,,,,,
,7.91,0.0,0.0,0.0,0.0,7.56,9.50,9.45,9.45,76.2,,,,,
,8.60,0.0,0.0,0.0,0.0,8.25,9.50,9.45,9.70,75.4,,,,,
,9.29,0.0,0.0,0.0,0.0,8.94,9.45,9.45,9.50,75.0,,,,,
,9.96,0.0,0.0,0.0,0.0,9.62,9.45,9.40,9.25,76.6,,,,,
,10.65,0.0,0.0,0.0,0.0,10.31,9.40,9.35,9.30,78.1,,,,,
,11.32,0.0,0.0,0.0,0.0,10.99,9.35,9.30,9.40,78.5,,,,,
,12.01,0.0,0.0,0.0,0.0,11.67,9.30,9.30,9.45,79.7,,,,,
,12.70,0.0,0.0,0.0,0.0,12.35,9.25,9.20,9.40,81.3,,,,,
,13.39,0.0,0.0,0.0,0.0,13.04,9.15,9.10,9.60,81.6,,,,,
,14.08,0.0,0.0,0.0,0.0,13.72,8.95,8.95,9.00,80.5,,,,,
,14.75,0.0,0.0,0.0,0.0,14.41,8.70,8.75,8.75,78.5,,,,,
,15.44,0.0,0.0,0.0,0.0,15.10,8.55,8.55,8.55,78.5,,,,,
,16.13,0.0,0.0,0.0,0.0,15.79,8.35,8.40,8.30,79.3,,,,,
,16.82,0.0,0.0,0.0,0.0,16.48,8.20,8.25,8.10,81.3,,,,,
,17.50,0.0,0.0,0.0,0.0,17.15,8.10,8.05,7.90,83.6,,,,,
,18.19,0.0,0.0,0.0,0.0,17.84,7.85,7.90,7.70,86.3,,,,,
,18.87,0.0,0.0,0.0,0.0,18.53,7.75,7.70,7.50,88.3,,,,,
