Sunday,01,March,2020,18:15:26:62939,VCDS Version: Release 12.12.0 (x64),Data version: 20130910
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D06,

,Group A:,'001,,,,Group B:,'013,,,,Group C:, Not Running
,,Idle speed,Engine load,Throttle ang,Ignition ang,,Knock Reg.,Knock Reg.,Knock Reg.,Knock Reg.,,,,,
,TIME,800-920 rpm,0.5-1.5 m/s,0-5 deg.,6-12 BTDC,TIME,,,,,TIME,,,,
Marker,STAMP, /min, ms,°, °BTDC,STAMP,°,°,°,°,STAMP,,,,
,0.27,1480,3.35,35.6,0.0,0.01,0.0,0.0,0.0,0.0,,,,,
,0.80,1520,3.90,75.5,19.5,0.53,0.0,0.0,0.0,0.0,,,,,
,1.33,1600,4.35,76.0,18.8,1.06,0.0,0.0,0.0,0.0,,,,,
,1.86,1680,4.70,76.4,15.8,1.60,0.0,0.0,0.0,0.0,,,,,
,2.37,1800,5.00,76.4,15.8,2.12,0.0,0.0,0.0,0.0,,,,,
,2.88,1880,5.25,76.4,15.8,2.62,0.0,0.0,0.0,0.0,,,,,
,3.40,2040,5.60,76.4,15.0,3.14,0.0,0.0,0.0,0.0,,,,,
,3.92,2160,6.05,76.8,13.5,3.66,0.0,0.0,0.0,0.0,,,,,
,4.42,2240,6.45,76.8,12.0,4.17,0.0,0.0,0.0,0.0,,,,,
,4.94,2400,6.60,76.8,12.0,4.67,0.0,0.0,0.0,0.0,,,,,
,5.45,2560,6.55,76.8,13.5,5.20,0.0,0.0,0.0,0.0,,,,,
,5.96,2680,6.50,76.8,15.0,5.70,0.0,0.0,0.0,0.0,,,,,
,6.49,2840,6.50,76.8,16.5,6.22,0.0,0.0,0.0,0.0,,,,,
,7.01,2960,6.50,76.8,18.0,6.75,0.0,0.0,0.0,0.0,,,,,
,7.51,3080,6.65,76.8,18.0,7.26,0.0,0.0,0.0,0.0,,,,,
,8.02,3200,6.75,76.8,18.8,7.76,0.0,0.0,0.0,0.0,,,,,
,8.53,3360,6.95,76.8,18.8,8.28,0.0,0.0,0.0,0.0,,,,,
,9.03,3520,6.80,76.8,20.3,8.78,0.0,0.0,0.0,0.0,,,,,
,9.56,3640,6.90,77.3,21.8,9.30,0.0,0.0,0.0,0.0,,,,,
,10.06,3760,6.75,76.8,22.5,9.81,0.0,0.0,0.0,0.0,,,,,
,10.57,3880,6.90,76.8,23.3,10.31,0.0,0.0,0.0,0.0,,,,,
,11.09,4040,6.90,76.8,24.0,10.83,0.0,0.0,0.0,0.0,,,,,
,11.59,4160,6.90,77.3,24.8,11.34,0.0,0.0,0.0,0.0,,,,,
,12.10,4280,7.00,77.3,24.8,11.85,0.0,0.0,0.0,0.0,,,,,
,12.63,4400,6.90,77.3,25.5,12.36,0.0,0.0,0.0,0.0,,,,,
,13.14,4520,7.00,77.3,25.5,12.89,0.0,0.0,0.0,0.0,,,,,
,13.66,4640,6.95,77.3,25.5,13.39,0.0,0.0,0.0,0.0,,,,,
,14.19,4760,7.05,77.3,24.0,13.93,0.0,0.0,0.0,0.0,,,,,
,14.72,4880,7.05,77.3,24.0,14.46,0.0,0.0,0.0,0.0,,,,,
,15.23,5000,7.00,77.3,24.0,14.98,0.0,0.0,0.0,0.0,,,,,
,15.74,5120,6.95,77.3,24.0,15.48,0.0,0.0,0.0,0.0,,,,,
,16.27,5200,6.95,77.3,24.0,16.00,0.0,0.0,0.0,0.0,,,,,
,16.80,5320,6.90,77.3,24.0,16.53,0.0,0.0,0.0,0.0,,,,,
,17.32,5440,6.85,77.3,24.0,17.07,0.0,0.0,0.0,0.0,,,,,
,17.85,5520,6.85,77.3,24.8,17.58,0.0,0.0,0.0,0.0,,,,,
,18.37,5600,6.85,77.3,24.0,18.11,0.0,0.0,0.0,0.0,,,,,
,18.87,5680,6.80,77.3,24.0,18.62,0.0,0.0,0.0,0.0,,,,,
,19.39,5800,6.85,77.3,24.0,19.13,0.0,0.0,0.0,0.0,,,,,
