Sunday,01,March,2020,18:12:30:62939,VCDS Version: Release 12.12.0 (x64),Data version: 20130910
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D06,

,Group A:,'002,,,,Group B:,'025,,,,Group C:, Not Running
,,Idle speed,Engine load,Inj. period,Air mass in,,Spec. load,Load correc.,Actual load,Valve cycle,,,,,
,TIME,800-920 rpm,0.5-1.5 m/s,1.00-3.00 m/s,1.8-4 g/s,TIME,3-8 m/s,0-8 m/s,0.5-8 m/s,0-99%,TIME,,,,
Marker,STAMP, /min, ms, ms, g/s,STAMP, ms, ms, ms, %,STAMP,,,,
,0.01,1360,1.00,1.92,4.44,0.26,4.90,6.30,1.00,0.0,,,,,
,0.51,1320,1.25,4.42,5.48,0.76,5.70,5.80,3.55,99.6,,,,,
,1.01,1400,3.75,7.94,17.01,1.26,5.80,5.70,3.90,99.6,,,,,
,1.51,1480,4.05,8.32,19.17,1.76,6.25,5.80,4.20,99.6,,,,,
,2.02,1520,4.30,9.09,21.39,2.28,6.80,6.30,4.45,99.6,,,,,
,2.54,1640,4.60,9.34,24.09,2.79,7.25,6.90,4.75,99.6,,,,,
,3.05,1760,4.85,9.66,27.15,3.31,7.50,7.35,4.95,99.6,,,,,
,3.58,1840,5.05,10.05,29.79,3.84,7.50,7.50,5.20,99.6,,,,,
,4.11,1920,5.30,11.14,32.92,4.37,7.35,7.40,5.45,91.0,,,,,
,4.62,2080,5.65,11.78,37.29,4.87,7.30,7.30,5.85,87.5,,,,,
,5.12,2200,6.05,12.99,42.50,5.38,7.25,7.25,6.30,73.4,,,,,
,5.63,2320,6.45,13.76,47.71,5.89,7.25,7.20,6.60,66.0,,,,,
,6.15,2440,6.60,14.02,51.53,6.42,7.20,7.15,6.55,64.1,,,,,
,6.69,2560,6.50,13.70,53.68,6.95,7.10,7.10,6.60,62.9,,,,,
,7.20,2720,6.55,13.95,57.01,7.45,7.05,7.05,6.60,62.9,,,,,
