Sunday,01,March,2020,18:31:20:62939,VCDS Version: Release 12.12.0 (x64),Data version: 20130910
06A 906 018 AQ,,1.8L R4/5VT MOTR HS D06,

,Group A:,'011,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Idle speed,Engine load,Road speed,Consumption,,,,,,,,,,
,TIME,800-920 rpm,0.5-1.5 m/s,km/h,l/h,TIME,,,,,TIME,,,,
Marker,STAMP, /min, ms, km/h, l/h,STAMP,,,,,STAMP,,,,
,0.01,880,0.85,1.3,0.84,,,,,,,,,,
,0.26,880,0.85,1.3,0.84,,,,,,,,,,
,0.52,880,0.85,1.3,0.84,,,,,,,,,,
,0.77,840,0.85,0.0,0.84,,,,,,,,,,
,1.02,880,0.85,0.0,0.84,,,,,,,,,,
,1.28,880,0.85,0.0,0.84,,,,,,,,,,
,1.54,880,0.85,0.0,0.84,,,,,,,,,,
,1.81,880,0.85,0.0,0.84,,,,,,,,,,
,2.07,880,0.90,0.0,0.98,,,,,,,,,,
,2.32,920,0.90,0.0,0.98,,,,,,,,,,
,2.59,920,0.90,0.0,0.98,,,,,,,,,,
,2.85,920,0.90,0.0,0.98,,,,,,,,,,
,3.10,920,0.95,0.0,1.12,,,,,,,,,,
,3.35,1000,1.25,0.0,1.26,,,,,,,,,,
,3.60,1360,2.45,0.0,3.64,,,,,,,,,,
,3.85,2120,3.05,0.0,6.86,,,,,,,,,,
,4.11,2320,3.60,0.0,9.94,,,,,,,,,,
,4.37,2360,4.10,0.0,10.78,,,,,,,,,,
,4.64,2320,4.35,0.0,9.66,,,,,,,,,,
,4.90,2120,4.55,6.4,10.22,,,,,,,,,,
,5.17,1760,4.70,14.1,9.24,,,,,,,,,,
,5.43,2120,4.70,16.6,8.82,,,,,,,,,,
,5.68,2400,5.05,20.5,13.02,,,,,,,,,,
,5.95,2720,5.50,24.3,15.82,,,,,,,,,,
,6.21,3080,6.10,28.2,19.88,,,,,,,,,,
,6.46,3520,6.35,32.0,24.08,,,,,,,,,,
,6.71,3920,6.15,35.8,25.20,,,,,,,,,,
,6.96,4280,6.25,39.7,29.82,,,,,,,,,,
,7.21,4640,6.45,42.2,35.70,,,,,,,,,,
,7.46,5000,6.75,46.1,35.70,,,,,,,,,,
,7.73,5400,7.00,49.9,35.70,,,,,,,,,,
,8.00,4760,1.55,51.2,0.00,,,,,,,,,,
,8.26,4120,3.65,52.5,20.58,,,,,,,,,,
,8.53,3440,5.50,53.8,21.56,,,,,,,,,,
,8.79,3440,6.70,56.3,27.02,,,,,,,,,,
,9.04,3640,6.60,57.6,29.68,,,,,,,,,,
,9.30,3840,6.60,60.2,26.88,,,,,,,,,,
,9.56,4000,6.65,64.0,29.82,,,,,,,,,,
,9.83,4120,6.70,66.6,32.62,,,,,,,,,,
,10.09,4320,6.80,69.1,35.70,,,,,,,,,,
,10.35,4480,6.95,70.4,35.70,,,,,,,,,,
,10.61,4600,6.95,73.0,35.70,,,,,,,,,,
,10.87,4760,7.00,75.5,35.70,,,,,,,,,,
,11.14,4920,7.05,78.1,35.70,,,,,,,,,,
,11.40,5080,7.15,80.6,35.70,,,,,,,,,,
,11.67,5240,7.25,83.2,35.70,,,,,,,,,,
,11.93,5360,7.15,87.0,35.70,,,,,,,,,,
,12.20,5480,7.10,87.0,35.70,,,,,,,,,,
,12.46,5640,7.00,90.9,35.70,,,,,,,,,,
,12.71,5760,6.85,92.2,35.70,,,,,,,,,,
,12.96,5880,6.95,94.7,35.70,,,,,,,,,,
,13.21,5960,6.80,96.0,35.70,,,,,,,,,,
,13.46,5560,1.55,94.7,0.00,,,,,,,,,,
,13.72,5240,2.85,96.0,4.20,,,,,,,,,,
,13.98,4160,6.20,96.0,28.98,,,,,,,,,,
,14.24,4120,6.75,99.8,32.90,,,,,,,,,,
,14.49,4200,6.80,101.1,33.74,,,,,,,,,,
,14.75,4280,6.80,102.4,33.46,,,,,,,,,,
,15.01,4320,6.85,103.7,33.46,,,,,,,,,,
,15.27,4400,6.95,105.0,35.70,,,,,,,,,,
,15.55,4480,6.90,106.2,35.70,,,,,,,,,,
,15.81,4520,6.90,108.8,35.70,,,,,,,,,,
,16.07,4600,7.05,108.8,35.70,,,,,,,,,,
,16.32,4640,7.00,112.6,35.70,,,,,,,,,,
,16.57,4720,7.00,112.6,35.70,,,,,,,,,,
,16.82,4800,6.95,113.9,35.70,,,,,,,,,,
,17.09,4840,7.05,116.5,35.70,,,,,,,,,,
,17.35,4920,7.05,117.8,35.70,,,,,,,,,,
,17.61,4960,7.05,119.0,35.70,,,,,,,,,,
,17.87,5040,7.05,120.3,35.70,,,,,,,,,,
,18.14,5080,7.05,122.9,35.70,,,,,,,,,,
,18.40,5160,6.95,122.9,35.70,,,,,,,,,,
,18.66,5200,6.95,124.2,35.70,,,,,,,,,,
,18.91,5240,6.90,125.4,35.70,,,,,,,,,,
,19.16,5120,2.10,124.2,0.56,,,,,,,,,,
,19.42,4760,2.30,124.2,0.00,,,,,,,,,,
,19.68,4040,6.55,126.7,30.94,,,,,,,,,,
,19.93,4120,6.95,126.7,35.42,,,,,,,,,,
,20.18,4200,6.95,128.0,34.30,,,,,,,,,,
,20.43,4240,6.90,129.3,33.88,,,,,,,,,,
,20.68,4240,6.90,129.3,34.02,,,,,,,,,,
,20.93,4280,6.95,130.6,34.02,,,,,,,,,,
,21.18,4320,6.95,131.8,34.16,,,,,,,,,,
,21.43,4360,6.90,131.8,34.30,,,,,,,,,,
,21.68,4400,6.85,133.1,34.02,,,,,,,,,,
,21.94,4440,6.90,134.4,35.70,,,,,,,,,,
,22.20,4440,7.00,135.7,35.70,,,,,,,,,,
,22.46,4480,7.10,137.0,35.70,,,,,,,,,,
,22.71,4520,7.05,138.2,35.70,,,,,,,,,,
,22.96,4560,6.90,139.5,35.70,,,,,,,,,,
,23.20,4600,6.90,140.8,35.70,,,,,,,,,,
